"geo_entity2","PlotID","SPP_CODE3A","Abundance_ha","r_PET","meanPET","meanMAP","totPlotArea","Iteration"
"O'ahu Island",296,"MELQUI",30,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",296,"PSICAT",140,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",296,"PSIGUA",10,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",296,"SYZCUM",50,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",457,"GREROB",714,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",457,"SCHTER",6708,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",344,"ALEMOL",59,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",344,"CINBUR",119,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",344,"PSICAT",6939,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",344,"PSIGUA",119,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",344,"SCHTER",59,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",297,"ACACON",5935,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",297,"GREROB",119,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",297,"SCHTER",1187,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",297,"SYZCUM",59,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",437,"CINBUR",2851,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",437,"CITCAU",59,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",437,"MELQUI",595,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",437,"PSICAT",771,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",50,"CORFRU",10,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",50,"PSICAT",40,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",342,"ALEMOL",119,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",342,"LEULEU",5694,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",342,"TOOCIL",238,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",522,"PSICAT",6168,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",522,"PSIGUA",119,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
"O'ahu Island",522,"SCHTER",59,90.27770996093,1325.32857666016,1609.91758422852,6698.48,1
